WeekEnding,HB,AgeGroup,Sex,NumberAttendances,Average20182019
20200105,S08000015,Under 5,All,214,194.5
20200105,S08000015,5 - 14,All,116,119
20200105,S08000015,15 - 44,All,681,694.5
20200105,S08000015,45 - 64,All,485,455.5
20200105,S08000015,65 - 74,All,222,212
20200105,S08000015,75 - 84,All,182,184.5
20200105,S08000015,85 and over,All,123,101.5
20200105,S08000015,All ages,All,2048,1972.5
20200105,S08000015,All ages,Female,972,990.5
20200105,S08000015,All ages,Male,1051,971
20200105,S08000016,Under 5,All,34,28.5
20200105,S08000016,5 - 14,All,20,28.5
20200105,S08000016,15 - 44,All,215,183
20200105,S08000016,45 - 64,All,164,146.5
20200105,S08000016,65 - 74,All,95,81.5
20200105,S08000016,75 - 84,All,86,80
20200105,S08000016,85 and over,All,63,51
20200105,S08000016,All ages,All,696,611
20200105,S08000016,All ages,Female,359,301
20200105,S08000016,All ages,Male,318,298
20200105,S08000017,Under 5,All,73,85.5
20200105,S08000017,5 - 14,All,38,57
20200105,S08000017,15 - 44,All,329,320.5
20200105,S08000017,45 - 64,All,219,194.5
20200105,S08000017,65 - 74,All,111,106.5
20200105,S08000017,75 - 84,All,113,96
20200105,S08000017,85 and over,All,58,47.5
20200105,S08000017,All ages,All,958,909.5
20200105,S08000017,All ages,Female,473,455.5
20200105,S08000017,All ages,Male,468,452
20200105,S08000019,Under 5,All,100,84.5
20200105,S08000019,5 - 14,All,55,61.5
20200105,S08000019,15 - 44,All,415,392.5
20200105,S08000019,45 - 64,All,324,287.5
20200105,S08000019,65 - 74,All,133,127.5
20200105,S08000019,75 - 84,All,163,136.5
20200105,S08000019,85 and over,All,67,79.5
20200105,S08000019,All ages,All,1289,1221
20200105,S08000019,All ages,Female,596,596
20200105,S08000019,All ages,Male,661,573.5
20200105,S08000020,Under 5,All,178,160
20200105,S08000020,5 - 14,All,159,117.5
20200105,S08000020,15 - 44,All,754,702.5
20200105,S08000020,45 - 64,All,457,425.5
20200105,S08000020,65 - 74,All,210,190
20200105,S08000020,75 - 84,All,185,172.5
20200105,S08000020,85 and over,All,113,96.5
20200105,S08000020,All ages,All,2111,1912
20200105,S08000020,All ages,Female,1041,907
20200105,S08000020,All ages,Male,1015,957.5
20200105,S08000022,Under 5,All,63,63.5
20200105,S08000022,5 - 14,All,64,41.5
20200105,S08000022,15 - 44,All,439,383.5
20200105,S08000022,45 - 64,All,299,297
20200105,S08000022,65 - 74,All,143,133
20200105,S08000022,75 - 84,All,149,112
20200105,S08000022,85 and over,All,66,60.5
20200105,S08000022,All ages,All,1307,1149.5
20200105,S08000022,All ages,Female,600,544.5
20200105,S08000022,All ages,Male,623,546.5
20200105,S08000024,Under 5,All,563,609
20200105,S08000024,5 - 14,All,347,348.5
20200105,S08000024,15 - 44,All,1391,1363
20200105,S08000024,45 - 64,All,854,808.5
20200105,S08000024,65 - 74,All,344,349.5
20200105,S08000024,75 - 84,All,320,345.5
20200105,S08000024,85 and over,All,197,215
20200105,S08000024,All ages,All,4282,4248
20200105,S08000024,All ages,Female,2035,2080.5
20200105,S08000024,All ages,Male,1981,1958.5
20200105,S08000025,Under 5,All,11,7.5
20200105,S08000025,5 - 14,All,6,5
20200105,S08000025,15 - 44,All,38,36
20200105,S08000025,45 - 64,All,30,24
20200105,S08000025,65 - 74,All,20,15.5
20200105,S08000025,75 - 84,All,17,16.5
20200105,S08000025,85 and over,All,7,8
20200105,S08000025,All ages,All,135,114.5
20200105,S08000025,All ages,Female,73,55.5
20200105,S08000025,All ages,Male,56,57
20200105,S08000026,Under 5,All,18,14
20200105,S08000026,15 - 44,All,54,48.5
20200105,S08000026,45 - 64,All,31,37
20200105,S08000026,65 - 74,All,11,10.5
20200105,S08000026,75 - 84,All,16,16
20200105,S08000026,All ages,All,139,141
20200105,S08000026,All ages,Female,59,73.5
20200105,S08000026,All ages,Male,79,64
20200105,S08000028,Under 5,All,8,6
20200105,S08000028,5 - 14,All,7,7
20200105,S08000028,15 - 44,All,42,36.5
20200105,S08000028,45 - 64,All,32,31.5
20200105,S08000028,65 - 74,All,22,18
20200105,S08000028,75 - 84,All,10,16
20200105,S08000028,85 and over,All,17,12.5
20200105,S08000028,All ages,All,145,131
20200105,S08000028,All ages,Female,65,65.5
20200105,S08000028,All ages,Male,73,62
20200105,S08000029,Under 5,All,90,92.5
20200105,S08000029,5 - 14,All,71,63
20200105,S08000029,15 - 44,All,483,465
20200105,S08000029,45 - 64,All,304,317.5
20200105,S08000029,65 - 74,All,138,142
20200105,S08000029,75 - 84,All,130,115
20200105,S08000029,85 and over,All,79,75.5
20200105,S08000029,All ages,All,1317,1286.5
20200105,S08000029,All ages,Female,664,651.5
20200105,S08000029,All ages,Male,631,619
20200105,S08000030,Under 5,All,96,105
20200105,S08000030,5 - 14,All,75,73
20200105,S08000030,15 - 44,All,506,511
20200105,S08000030,45 - 64,All,283,313
20200105,S08000030,65 - 74,All,142,146.5
20200105,S08000030,75 - 84,All,134,135.5
20200105,S08000030,85 and over,All,100,105
20200105,S08000030,All ages,All,1357,1392.5
20200105,S08000030,All ages,Female,673,673.5
20200105,S08000030,All ages,Male,663,715.5
20200105,S08000031,Under 5,All,739,856.5
20200105,S08000031,5 - 14,All,423,447.5
20200105,S08000031,15 - 44,All,2399,2345
20200105,S08000031,45 - 64,All,1518,1535.5
20200105,S08000031,65 - 74,All,606,633.5
20200105,S08000031,75 - 84,All,566,598.5
20200105,S08000031,85 and over,All,325,353
20200105,S08000031,All ages,All,6732,6786
20200105,S08000031,All ages,Female,3291,3420
20200105,S08000031,All ages,Male,3285,3349.5
20200105,S08000032,Under 5,All,204,205
20200105,S08000032,5 - 14,All,167,163.5
20200105,S08000032,15 - 44,All,1320,1289.5
20200105,S08000032,45 - 64,All,1037,1011
20200105,S08000032,65 - 74,All,513,449.5
20200105,S08000032,75 - 84,All,439,429
20200105,S08000032,85 and over,All,214,214.5
20200105,S08000032,All ages,All,3937,3810
20200105,S08000032,All ages,Female,2009,1946.5
20200105,S08000032,All ages,Male,1885,1815.5
20200105,S92000003,Under 5,All,2391,2512
20200105,S92000003,5 - 14,All,1552,1540
20200105,S92000003,15 - 44,All,9066,8771
20200105,S92000003,45 - 64,All,6037,5884.5
20200105,S92000003,65 - 74,All,2710,2615.5
20200105,S92000003,75 - 84,All,2510,2453.5
20200105,S92000003,85 and over,All,1433,1424
20200105,S92000003,All ages,All,26453,25685
20200105,S92000003,All ages,Female,12910,12761
20200105,S92000003,All ages,Male,12789,12439.5
20200112,S08000015,Under 5,All,156,195.5
20200112,S08000015,5 - 14,All,186,172
20200112,S08000015,15 - 44,All,636,654.5
20200112,S08000015,45 - 64,All,442,456
20200112,S08000015,65 - 74,All,211,202
20200112,S08000015,75 - 84,All,199,186
20200112,S08000015,85 and over,All,115,82
20200112,S08000015,All ages,All,1963,1957.5
20200112,S08000015,All ages,Female,971,937
20200112,S08000015,All ages,Male,974,1011
20200112,S08000016,Under 5,All,17,24
20200112,S08000016,5 - 14,All,25,33.5
20200112,S08000016,15 - 44,All,155,172
20200112,S08000016,45 - 64,All,141,124.5
20200112,S08000016,65 - 74,All,71,79
20200112,S08000016,75 - 84,All,92,81.5
20200112,S08000016,85 and over,All,44,54.5
20200112,S08000016,All ages,All,557,574
20200112,S08000016,All ages,Female,267,270
20200112,S08000016,All ages,Male,278,299
20200112,S08000017,Under 5,All,62,74
20200112,S08000017,5 - 14,All,65,69.5
20200112,S08000017,15 - 44,All,275,265
20200112,S08000017,45 - 64,All,200,172
20200112,S08000017,65 - 74,All,105,98
20200112,S08000017,75 - 84,All,87,87
20200112,S08000017,85 and over,All,47,45
20200112,S08000017,All ages,All,852,811
20200112,S08000017,All ages,Female,434,415
20200112,S08000017,All ages,Male,407,395.5
20200112,S08000019,Under 5,All,63,75.5
20200112,S08000019,5 - 14,All,88,87
20200112,S08000019,15 - 44,All,436,381
20200112,S08000019,45 - 64,All,293,248.5
20200112,S08000019,65 - 74,All,142,101
20200112,S08000019,75 - 84,All,133,121
20200112,S08000019,85 and over,All,67,69
20200112,S08000019,All ages,All,1231,1135
20200112,S08000019,All ages,Female,555,526.5
20200112,S08000019,All ages,Male,667,556.5
20200112,S08000020,Under 5,All,154,140
20200112,S08000020,5 - 14,All,172,170
20200112,S08000020,15 - 44,All,644,634.5
20200112,S08000020,45 - 64,All,359,384.5
20200112,S08000020,65 - 74,All,166,131.5
20200112,S08000020,75 - 84,All,180,153
20200112,S08000020,85 and over,All,105,82
20200112,S08000020,All ages,All,1813,1738.5
20200112,S08000020,All ages,Female,861,829.5
20200112,S08000020,All ages,Male,919,866
20200112,S08000022,Under 5,All,54,63
20200112,S08000022,5 - 14,All,69,64.5
20200112,S08000022,15 - 44,All,366,347.5
20200112,S08000022,45 - 64,All,267,229
20200112,S08000022,65 - 74,All,136,96
20200112,S08000022,75 - 84,All,107,94
20200112,S08000022,85 and over,All,67,60.5
20200112,S08000022,All ages,All,1097,983.5
20200112,S08000022,All ages,Female,535,447.5
20200112,S08000022,All ages,Male,531,507
20200112,S08000024,Under 5,All,508,570.5
20200112,S08000024,5 - 14,All,438,451
20200112,S08000024,15 - 44,All,1321,1257
20200112,S08000024,45 - 64,All,877,807
20200112,S08000024,65 - 74,All,345,316.5
20200112,S08000024,75 - 84,All,321,305.5
20200112,S08000024,85 and over,All,180,193
20200112,S08000024,All ages,All,4129,4024.5
20200112,S08000024,All ages,Female,2057,1940.5
20200112,S08000024,All ages,Male,1933,1960
20200112,S08000025,Under 5,All,10,5
20200112,S08000025,5 - 14,All,10,7
20200112,S08000025,15 - 44,All,38,29.5
20200112,S08000025,45 - 64,All,37,22
20200112,S08000025,65 - 74,All,14,15.5
20200112,S08000025,75 - 84,All,28,10.5
20200112,S08000025,85 and over,All,6,6.5
20200112,S08000025,All ages,All,148,99
20200112,S08000025,All ages,Female,64,51.5
20200112,S08000025,All ages,Male,79,44.5
20200112,S08000026,Under 5,All,9,13.5
20200112,S08000026,5 - 14,All,9,10
20200112,S08000026,15 - 44,All,45,42.5
20200112,S08000026,45 - 64,All,28,28
20200112,S08000026,65 - 74,All,14,14.5
20200112,S08000026,75 - 84,All,11,18
20200112,S08000026,85 and over,All,8,9
20200112,S08000026,All ages,All,128,139.5
20200112,S08000026,All ages,Female,65,65
20200112,S08000026,All ages,Male,59,70.5
20200112,S08000028,Under 5,All,8,5
20200112,S08000028,5 - 14,All,8,10.5
20200112,S08000028,15 - 44,All,36,32
20200112,S08000028,45 - 64,All,37,28
20200112,S08000028,65 - 74,All,16,14
20200112,S08000028,75 - 84,All,19,14.5
20200112,S08000028,85 and over,All,10,8.5
20200112,S08000028,All ages,All,134,115
20200112,S08000028,All ages,Female,62,50
20200112,S08000028,All ages,Male,72,62.5
20200112,S08000029,Under 5,All,84,79
20200112,S08000029,5 - 14,All,73,95.5
20200112,S08000029,15 - 44,All,446,429
20200112,S08000029,45 - 64,All,301,258.5
20200112,S08000029,65 - 74,All,124,121.5
20200112,S08000029,75 - 84,All,97,110
20200112,S08000029,85 and over,All,81,72.5
20200112,S08000029,All ages,All,1218,1175
20200112,S08000029,All ages,Female,615,549.5
20200112,S08000029,All ages,Male,591,616.5
20200112,S08000030,Under 5,All,83,109
20200112,S08000030,5 - 14,All,99,121.5
20200112,S08000030,15 - 44,All,500,492
20200112,S08000030,45 - 64,All,287,277
20200112,S08000030,65 - 74,All,130,108
20200112,S08000030,75 - 84,All,114,119
20200112,S08000030,85 and over,All,78,73.5
20200112,S08000030,All ages,All,1313,1300
20200112,S08000030,All ages,Female,626,610
20200112,S08000030,All ages,Male,665,690
20200112,S08000031,Under 5,All,723,805
20200112,S08000031,5 - 14,All,580,589.5
20200112,S08000031,15 - 44,All,2317,2318.5
20200112,S08000031,45 - 64,All,1532,1489.5
20200112,S08000031,65 - 74,All,561,565.5
20200112,S08000031,75 - 84,All,570,537
20200112,S08000031,85 and over,All,340,302
20200112,S08000031,All ages,All,6756,6616
20200112,S08000031,All ages,Female,3355,3221
20200112,S08000031,All ages,Male,3268,3386
20200112,S08000032,Under 5,All,181,179
20200112,S08000032,5 - 14,All,262,249.5
20200112,S08000032,15 - 44,All,1379,1303.5
20200112,S08000032,45 - 64,All,1090,982
20200112,S08000032,65 - 74,All,464,442
20200112,S08000032,75 - 84,All,409,380.5
20200112,S08000032,85 and over,All,212,205
20200112,S08000032,All ages,All,4036,3771.5
20200112,S08000032,All ages,Female,2030,1895.5
20200112,S08000032,All ages,Male,1967,1846
20200112,S92000003,Under 5,All,2112,2338
20200112,S92000003,5 - 14,All,2084,2131
20200112,S92000003,15 - 44,All,8594,8358.5
20200112,S92000003,45 - 64,All,5891,5506.5
20200112,S92000003,65 - 74,All,2499,2305
20200112,S92000003,75 - 84,All,2367,2217.5
20200112,S92000003,85 and over,All,1360,1263
20200112,S92000003,All ages,All,25375,24440
20200112,S92000003,All ages,Female,12497,11808.5
20200112,S92000003,All ages,Male,12410,12311
20200119,S08000015,Under 5,All,157,201.5
20200119,S08000015,5 - 14,All,204,171.5
20200119,S08000015,15 - 44,All,615,660.5
20200119,S08000015,45 - 64,All,418,415.5
20200119,S08000015,65 - 74,All,202,181
20200119,S08000015,75 - 84,All,192,168.5
20200119,S08000015,85 and over,All,108,93.5
20200119,S08000015,All ages,All,1909,1900.5
20200119,S08000015,All ages,Female,910,935
20200119,S08000015,All ages,Male,986,957
20200119,S08000016,Under 5,All,18,28
20200119,S08000016,5 - 14,All,36,31
20200119,S08000016,15 - 44,All,144,151.5
20200119,S08000016,45 - 64,All,157,117
20200119,S08000016,65 - 74,All,96,68.5
20200119,S08000016,75 - 84,All,84,65
20200119,S08000016,85 and over,All,48,52
20200119,S08000016,All ages,All,591,518.5
20200119,S08000016,All ages,Female,298,254
20200119,S08000016,All ages,Male,285,259
20200119,S08000017,Under 5,All,51,87
20200119,S08000017,5 - 14,All,65,78
20200119,S08000017,15 - 44,All,269,263.5
20200119,S08000017,45 - 64,All,188,158
20200119,S08000017,65 - 74,All,95,90
20200119,S08000017,75 - 84,All,90,89
20200119,S08000017,85 and over,All,41,44.5
20200119,S08000017,All ages,All,817,814.5
20200119,S08000017,All ages,Female,404,387.5
20200119,S08000017,All ages,Male,395,422.5
20200119,S08000019,Under 5,All,115,77
20200119,S08000019,5 - 14,All,89,85.5
20200119,S08000019,15 - 44,All,413,404
20200119,S08000019,45 - 64,All,292,268.5
20200119,S08000019,65 - 74,All,109,103.5
20200119,S08000019,75 - 84,All,113,91
20200119,S08000019,85 and over,All,64,60
20200119,S08000019,All ages,All,1214,1139
20200119,S08000019,All ages,Female,617,542
20200119,S08000019,All ages,Male,578,547.5
20200119,S08000020,Under 5,All,133,150
20200119,S08000020,5 - 14,All,196,195.5
20200119,S08000020,15 - 44,All,681,655
20200119,S08000020,45 - 64,All,437,365
20200119,S08000020,65 - 74,All,184,165
20200119,S08000020,75 - 84,All,177,142
20200119,S08000020,85 and over,All,115,88.5
20200119,S08000020,All ages,All,1977,1798.5
20200119,S08000020,All ages,Female,956,867.5
20200119,S08000020,All ages,Male,967,893.5
20200119,S08000022,Under 5,All,46,52.5
20200119,S08000022,5 - 14,All,86,79
20200119,S08000022,15 - 44,All,376,343.5
20200119,S08000022,45 - 64,All,234,245
20200119,S08000022,65 - 74,All,127,118
20200119,S08000022,75 - 84,All,87,101.5
20200119,S08000022,85 and over,All,41,58.5
20200119,S08000022,All ages,All,1022,1038
20200119,S08000022,All ages,Female,487,469.5
20200119,S08000022,All ages,Male,510,528.5
20200119,S08000024,Under 5,All,489,571.5
20200119,S08000024,5 - 14,All,487,515
20200119,S08000024,15 - 44,All,1493,1317.5
20200119,S08000024,45 - 64,All,825,755
20200119,S08000024,65 - 74,All,366,306.5
20200119,S08000024,75 - 84,All,335,299.5
20200119,S08000024,85 and over,All,190,182.5
20200119,S08000024,All ages,All,4362,4071
20200119,S08000024,All ages,Female,2130,1967.5
20200119,S08000024,All ages,Male,2055,1980
20200119,S08000025,Under 5,All,10,1.5
20200119,S08000025,5 - 14,All,11,8.5
20200119,S08000025,15 - 44,All,45,32
20200119,S08000025,45 - 64,All,40,30.5
20200119,S08000025,65 - 74,All,9,12
20200119,S08000025,75 - 84,All,15,18
20200119,S08000025,85 and over,All,7,6
20200119,S08000025,All ages,All,139,110
20200119,S08000025,All ages,Female,59,50.5
20200119,S08000025,All ages,Male,78,58
20200119,S08000026,5 - 14,All,12,13
20200119,S08000026,15 - 44,All,47,43.5
20200119,S08000026,45 - 64,All,26,30.5
20200119,S08000026,65 - 74,All,5,15
20200119,S08000026,75 - 84,All,18,16
20200119,S08000026,85 and over,All,8,7.5
20200119,S08000026,All ages,All,123,142.5
20200119,S08000026,All ages,Female,50,60.5
20200119,S08000026,All ages,Male,70,76.5
20200119,S08000028,Under 5,All,8,8.5
20200119,S08000028,5 - 14,All,11,7.5
20200119,S08000028,15 - 44,All,23,30
20200119,S08000028,45 - 64,All,30,22
20200119,S08000028,65 - 74,All,13,13
20200119,S08000028,75 - 84,All,11,16
20200119,S08000028,85 and over,All,6,9.5
20200119,S08000028,All ages,All,109,109.5
20200119,S08000028,All ages,Female,53,50
20200119,S08000028,All ages,Male,49,56.5
20200119,S08000029,Under 5,All,97,85.5
20200119,S08000029,5 - 14,All,135,105.5
20200119,S08000029,15 - 44,All,468,410.5
20200119,S08000029,45 - 64,All,265,271
20200119,S08000029,65 - 74,All,112,107
20200119,S08000029,75 - 84,All,107,105.5
20200119,S08000029,85 and over,All,77,73
20200119,S08000029,All ages,All,1268,1167.5
20200119,S08000029,All ages,Female,620,579
20200119,S08000029,All ages,Male,641,579
20200119,S08000030,Under 5,All,101,94.5
20200119,S08000030,5 - 14,All,128,114.5
20200119,S08000030,15 - 44,All,499,492.5
20200119,S08000030,45 - 64,All,265,254
20200119,S08000030,65 - 74,All,134,112.5
20200119,S08000030,75 - 84,All,119,114.5
20200119,S08000030,85 and over,All,71,71.5
20200119,S08000030,All ages,All,1337,1258
20200119,S08000030,All ages,Female,615,608
20200119,S08000030,All ages,Male,702,646
20200119,S08000031,Under 5,All,742,812.5
20200119,S08000031,5 - 14,All,658,595
20200119,S08000031,15 - 44,All,2329,2290
20200119,S08000031,45 - 64,All,1512,1388
20200119,S08000031,65 - 74,All,575,530
20200119,S08000031,75 - 84,All,534,503.5
20200119,S08000031,85 and over,All,333,325.5
20200119,S08000031,All ages,All,6724,6476
20200119,S08000031,All ages,Female,3316,3176
20200119,S08000031,All ages,Male,3367,3268.5
20200119,S08000032,Under 5,All,177,193
20200119,S08000032,5 - 14,All,296,257.5
20200119,S08000032,15 - 44,All,1365,1277.5
20200119,S08000032,45 - 64,All,948,938.5
20200119,S08000032,65 - 74,All,440,396
20200119,S08000032,75 - 84,All,409,346
20200119,S08000032,85 and over,All,187,204.5
20200119,S08000032,All ages,All,3855,3653
20200119,S08000032,All ages,Female,1976,1844
20200119,S08000032,All ages,Male,1846,1769
20200119,S92000003,Under 5,All,2148,2374.5
20200119,S92000003,5 - 14,All,2414,2257
20200119,S92000003,15 - 44,All,8767,8371.5
20200119,S92000003,45 - 64,All,5637,5258.5
20200119,S92000003,65 - 74,All,2467,2218
20200119,S92000003,75 - 84,All,2291,2076
20200119,S92000003,85 and over,All,1296,1277
20200119,S92000003,All ages,All,25447,24196.5
20200119,S92000003,All ages,Female,12491,11791
20200119,S92000003,All ages,Male,12529,12041.5
20200126,S08000015,Under 5,All,206,203
20200126,S08000015,5 - 14,All,238,224
20200126,S08000015,15 - 44,All,678,672.5
20200126,S08000015,45 - 64,All,415,428.5
20200126,S08000015,65 - 74,All,201,198
20200126,S08000015,75 - 84,All,191,172
20200126,S08000015,85 and over,All,108,100.5
20200126,S08000015,All ages,All,2047,2018.5
20200126,S08000015,All ages,Female,984,999.5
20200126,S08000015,All ages,Male,1053,999
20200126,S08000016,Under 5,All,25,20
20200126,S08000016,5 - 14,All,45,36
20200126,S08000016,15 - 44,All,164,174
20200126,S08000016,45 - 64,All,126,136
20200126,S08000016,65 - 74,All,71,68
20200126,S08000016,75 - 84,All,60,77
20200126,S08000016,85 and over,All,48,51
20200126,S08000016,All ages,All,548,570.5
20200126,S08000016,All ages,Female,286,292.5
20200126,S08000016,All ages,Male,253,269.5
20200126,S08000017,Under 5,All,80,69
20200126,S08000017,5 - 14,All,78,66
20200126,S08000017,15 - 44,All,262,261
20200126,S08000017,45 - 64,All,171,170.5
20200126,S08000017,65 - 74,All,85,88
20200126,S08000017,75 - 84,All,79,79.5
20200126,S08000017,85 and over,All,56,46.5
20200126,S08000017,All ages,All,827,796
20200126,S08000017,All ages,Female,389,394.5
20200126,S08000017,All ages,Male,422,386
20200126,S08000019,Under 5,All,81,86.5
20200126,S08000019,5 - 14,All,91,88
20200126,S08000019,15 - 44,All,459,428.5
20200126,S08000019,45 - 64,All,288,257
20200126,S08000019,65 - 74,All,121,122.5
20200126,S08000019,75 - 84,All,137,108
20200126,S08000019,85 and over,All,59,60
20200126,S08000019,All ages,All,1245,1195
20200126,S08000019,All ages,Female,602,563
20200126,S08000019,All ages,Male,634,587.5
20200126,S08000020,Under 5,All,182,162.5
20200126,S08000020,5 - 14,All,213,212.5
20200126,S08000020,15 - 44,All,721,655
20200126,S08000020,45 - 64,All,389,354
20200126,S08000020,65 - 74,All,174,153
20200126,S08000020,75 - 84,All,164,149.5
20200126,S08000020,85 and over,All,88,95.5
20200126,S08000020,All ages,All,1965,1831.5
20200126,S08000020,All ages,Female,870,828.5
20200126,S08000020,All ages,Male,1061,953.5
20200126,S08000022,Under 5,All,61,52
20200126,S08000022,5 - 14,All,101,80
20200126,S08000022,15 - 44,All,335,367
20200126,S08000022,45 - 64,All,252,246.5
20200126,S08000022,65 - 74,All,108,110
20200126,S08000022,75 - 84,All,92,95.5
20200126,S08000022,85 and over,All,59,49.5
20200126,S08000022,All ages,All,1043,1041
20200126,S08000022,All ages,Female,476,487.5
20200126,S08000022,All ages,Male,532,513
20200126,S08000024,Under 5,All,608,627
20200126,S08000024,5 - 14,All,595,555.5
20200126,S08000024,15 - 44,All,1505,1375.5
20200126,S08000024,45 - 64,All,835,789
20200126,S08000024,65 - 74,All,329,303
20200126,S08000024,75 - 84,All,322,290.5
20200126,S08000024,85 and over,All,199,184
20200126,S08000024,All ages,All,4539,4265
20200126,S08000024,All ages,Female,2173,2058.5
20200126,S08000024,All ages,Male,2220,2066
20200126,S08000025,Under 5,All,6,6
20200126,S08000025,5 - 14,All,17,6
20200126,S08000025,15 - 44,All,26,33
20200126,S08000025,45 - 64,All,27,30.5
20200126,S08000025,65 - 74,All,10,14.5
20200126,S08000025,75 - 84,All,21,15
20200126,S08000025,85 and over,All,5,5
20200126,S08000025,All ages,All,112,110.5
20200126,S08000025,All ages,Female,39,53
20200126,S08000025,All ages,Male,73,57
20200126,S08000026,Under 5,All,5,13.5
20200126,S08000026,5 - 14,All,20,11.5
20200126,S08000026,15 - 44,All,43,43.5
20200126,S08000026,45 - 64,All,26,25.5
20200126,S08000026,65 - 74,All,12,11.5
20200126,S08000026,75 - 84,All,8,12
20200126,S08000026,85 and over,All,13,6
20200126,S08000026,All ages,All,127,130
20200126,S08000026,All ages,Female,70,55
20200126,S08000026,All ages,Male,57,68.5
20200126,S08000028,Under 5,All,10,7.5
20200126,S08000028,5 - 14,All,11,9
20200126,S08000028,15 - 44,All,32,30
20200126,S08000028,45 - 64,All,23,23
20200126,S08000028,65 - 74,All,16,13
20200126,S08000028,75 - 84,All,18,11
20200126,S08000028,85 and over,All,10,12
20200126,S08000028,All ages,All,120,110
20200126,S08000028,All ages,Female,56,51.5
20200126,S08000028,All ages,Male,64,54
20200126,S08000029,Under 5,All,81,80
20200126,S08000029,5 - 14,All,140,105
20200126,S08000029,15 - 44,All,487,449
20200126,S08000029,45 - 64,All,263,288.5
20200126,S08000029,65 - 74,All,123,115
20200126,S08000029,75 - 84,All,128,106
20200126,S08000029,85 and over,All,59,66.5
20200126,S08000029,All ages,All,1289,1220.5
20200126,S08000029,All ages,Female,673,618.5
20200126,S08000029,All ages,Male,608,591.5
20200126,S08000030,Under 5,All,99,91
20200126,S08000030,5 - 14,All,147,127.5
20200126,S08000030,15 - 44,All,517,506
20200126,S08000030,45 - 64,All,311,294.5
20200126,S08000030,65 - 74,All,123,127
20200126,S08000030,75 - 84,All,116,112
20200126,S08000030,85 and over,All,73,72
20200126,S08000030,All ages,All,1413,1339.5
20200126,S08000030,All ages,Female,646,640.5
20200126,S08000030,All ages,Male,740,689.5
20200126,S08000031,Under 5,All,804,844.5
20200126,S08000031,5 - 14,All,742,709.5
20200126,S08000031,15 - 44,All,2490,2363.5
20200126,S08000031,45 - 64,All,1486,1464
20200126,S08000031,65 - 74,All,589,560.5
20200126,S08000031,75 - 84,All,508,513.5
20200126,S08000031,85 and over,All,322,282.5
20200126,S08000031,All ages,All,7060,6851.5
20200126,S08000031,All ages,Female,3454,3340
20200126,S08000031,All ages,Male,3487,3398
20200126,S08000032,Under 5,All,197,211.5
20200126,S08000032,5 - 14,All,323,298.5
20200126,S08000032,15 - 44,All,1401,1352
20200126,S08000032,45 - 64,All,919,1009
20200126,S08000032,65 - 74,All,393,469
20200126,S08000032,75 - 84,All,403,400.5
20200126,S08000032,85 and over,All,187,186.5
20200126,S08000032,All ages,All,3848,3954
20200126,S08000032,All ages,Female,1959,1949.5
20200126,S08000032,All ages,Male,1864,1977.5
20200126,S92000003,Under 5,All,2445,2474
20200126,S92000003,5 - 14,All,2761,2529
20200126,S92000003,15 - 44,All,9120,8710.5
20200126,S92000003,45 - 64,All,5531,5516.5
20200126,S92000003,65 - 74,All,2355,2353
20200126,S92000003,75 - 84,All,2247,2142
20200126,S92000003,85 and over,All,1286,1217.5
20200126,S92000003,All ages,All,26183,25433.5
20200126,S92000003,All ages,Female,12677,12332
20200126,S92000003,All ages,Male,13068,12610.5
20200202,S08000015,Under 5,All,190,211.5
20200202,S08000015,5 - 14,All,239,230
20200202,S08000015,15 - 44,All,701,683
20200202,S08000015,45 - 64,All,429,428
20200202,S08000015,65 - 74,All,216,206.5
20200202,S08000015,75 - 84,All,159,177
20200202,S08000015,85 and over,All,96,86
20200202,S08000015,All ages,All,2048,2037
20200202,S08000015,All ages,Female,983,1005
20200202,S08000015,All ages,Male,1047,1017
20200202,S08000016,Under 5,All,38,19
20200202,S08000016,5 - 14,All,36,37
20200202,S08000016,15 - 44,All,170,148
20200202,S08000016,45 - 64,All,136,120
20200202,S08000016,65 - 74,All,86,71.5
20200202,S08000016,75 - 84,All,77,67
20200202,S08000016,85 and over,All,52,44
20200202,S08000016,All ages,All,597,512.5
20200202,S08000016,All ages,Female,299,249
20200202,S08000016,All ages,Male,296,257.5
20200202,S08000017,Under 5,All,76,75
20200202,S08000017,5 - 14,All,84,82.5
20200202,S08000017,15 - 44,All,248,276
20200202,S08000017,45 - 64,All,173,176
20200202,S08000017,65 - 74,All,85,101
20200202,S08000017,75 - 84,All,95,77.5
20200202,S08000017,85 and over,All,64,49
20200202,S08000017,All ages,All,842,840.5
20200202,S08000017,All ages,Female,407,429
20200202,S08000017,All ages,Male,418,408
20200202,S08000019,Under 5,All,85,86
20200202,S08000019,5 - 14,All,88,84
20200202,S08000019,15 - 44,All,414,413
20200202,S08000019,45 - 64,All,269,255
20200202,S08000019,65 - 74,All,124,108
20200202,S08000019,75 - 84,All,110,114
20200202,S08000019,85 and over,All,68,62.5
20200202,S08000019,All ages,All,1171,1162.5
20200202,S08000019,All ages,Female,588,526
20200202,S08000019,All ages,Male,570,596.5
20200202,S08000020,Under 5,All,169,158
20200202,S08000020,5 - 14,All,217,215
20200202,S08000020,15 - 44,All,761,699.5
20200202,S08000020,45 - 64,All,417,381.5
20200202,S08000020,65 - 74,All,181,155.5
